Slice,Count,Total Area,Average Size,%Area
33-A_ARC_1.tif-(Colour_2).tif,341,22740.943,66.689,2.042
33-A_ARC_2.tif-(Colour_1).tif,3,987893.000,329297.667,88.725
33-A_ARC_2.tif-(Colour_2).tif,236,16431.774,69.626,1.476
33-A_ARC_3.tif-(Colour_1).tif,21,1048395.250,49923.583,94.159
33-A_ARC_3.tif-(Colour_2).tif,291,14448.752,49.652,1.298
33-A_ARC_4.tif-(Colour_1).tif,9,1032888.099,114765.344,92.766
33-A_ARC_4.tif-(Colour_2).tif,222,12946.760,58.319,1.163
33-A_CA1_1.tif-(Colour_1).tif,1,1112977.375,1112977.375,99.959
33-A_CA1_1.tif-(Colour_2).tif,149,5743.356,38.546,0.516
33-A_CA1_2.tif-(Colour_1).tif,1,1113157.125,1113157.125,99.975
33-A_CA1_2.tif-(Colour_2).tif,124,4873.665,39.304,0.438
33-A_CA1_3.tif-(Colour_1).tif,1,1113167.875,1113167.875,99.976
33-A_CA1_3.tif-(Colour_2).tif,165,7108.804,43.084,0.638
33-A_CA1_4.tif-(Colour_1).tif,5,1112564.606,222512.921,99.922
33-A_CA1_4.tif-(Colour_2).tif,161,8239.091,51.174,0.740
33-B_ARC_1.tif-(Colour_1).tif,18,799888.335,44438.241,71.840
33-B_ARC_1.tif-(Colour_2).tif,202,13727.653,67.959,1.233
33-B_ARC_2.tif-(Colour_1).tif,1,1113269.125,1113269.125,99.985
33-B_ARC_2.tif-(Colour_2).tif,207,11881.622,57.399,1.067
33-B_ARC_3.tif-(Colour_1).tif,29,977055.097,33691.555,87.752
33-B_ARC_3.tif-(Colour_2).tif,276,21313.917,77.224,1.914
33-B_ARC_4.tif-(Colour_1).tif,13,871748.820,67057.602,78.294
33-B_ARC_4.tif-(Colour_2).tif,199,12287.686,61.747,1.104
33-B_CA1_1.tif-(Colour_1).tif,2,1111823.892,555911.946,99.855
33-B_CA1_1.tif-(Colour_2).tif,231,15157.356,65.616,1.361
33-B_CA1_2.tif-(Colour_1).tif,3,1112892.589,370964.196,99.951
33-B_CA1_2.tif-(Colour_2).tif,220,13894.541,63.157,1.248
33-B_CA1_3.tif-(Colour_1).tif,2,1112151.446,556075.723,99.885
33-B_CA1_3.tif-(Colour_2).tif,222,17208.204,77.514,1.546
34_ARC_1.tif-(Colour_1).tif,21,1075900.606,51233.362,96.629
34_ARC_1.tif-(Colour_2).tif,471,45819.232,97.281,4.115
34_ARC_2.tif-(Colour_1).tif,17,1034572.543,60857.208,92.917
34_ARC_2.tif-(Colour_2).tif,526,58186.792,110.621,5.226
34_ARC_3.tif-(Colour_1).tif,19,969886.535,51046.660,87.108
34_ARC_3.tif-(Colour_2).tif,351,32754.222,93.317,2.942
34_ARC_4.tif-(Colour_1).tif,98,949319.558,9686.934,85.261
34_ARC_4.tif-(Colour_2).tif,562,65683.365,116.874,5.899
34_ARC_5.tif-(Colour_1).tif,57,985221.028,17284.579,88.485
34_ARC_5.tif-(Colour_2).tif,290,21234.935,73.224,1.907
34_ARC_6.tif-(Colour_1).tif,38,817295.996,21507.789,73.403
34_ARC_6.tif-(Colour_2).tif,460,54002.544,117.397,4.850
34_CA1_1.tif-(Colour_1).tif,2,1111806.892,555903.446,99.854
34_CA1_1.tif-(Colour_2).tif,508,63899.359,125.786,5.739
34_CA1_2.tif-(Colour_1).tif,110,1052565.687,9568.779,94.533
34_CA1_2.tif-(Colour_2).tif,990,98686.581,99.683,8.863
