id,cohort,litter,date_of_birth,age,sex,diet,ei_1,ei_2,ei_3,ei_4,ei_5,ei_6,ei_7,ei_8,ei_9,ei_10,ei_11,ei_12,ei_13,ei_14,ei_15,ei_16,ei_17,ei_18,ei_19,ei_20,ei_21,ei_22,ei_23,bw_0,bw_1,bw_2,bw_3,bw_4,bw_5,bw_6,bw_7,bw_8,bw_9,bw_10,bw_11,bw_12,bw_13,bw_14,bw_15,bw_16,bw_17,bw_18,bw_19,bw_20,bw_21,bw_22,bw_23,bw_24,fm_0,fm_7,fm_14,fm_21,lm_0,lm_7,lm_14,lm_21
30,0,101,12/31/2017,156,1,1,95.55,103.88,79.87,80.36,78.89,76.93,79.38,82.81,73.01,86.73,61.25,57.33,71.54,55.86,46.06,58.31,50.47,81.34,56.35,58.8,61.25,16.17,69.58,276.1,,284.5,,290.8,,,298.6,,304.3,305.7,,306.8,,308.3,,307.6,,314.7,,,313.2,,,313.2,42.728,66.302,78.468,78.395,190.491,200.33,196.403,201.552
31,0,101,12/31/2017,156,1,2,78.89,92.61,65.17,55.86,81.34,66.15,58.8,61.25,46.06,56.84,62.23,57.82,58.31,41.65,38.22,55.37,52.43,60.76,44.59,54.88,61.74,59.78,65.17,282.2,,289.3,,289.9,,,294.7,,294.4,295.4,,297.8,,296,,295.1,,293.5,,,297.8,,,296.8,54.289,71.475,74.623,73.777,186.746,187.033,186.685,193.003
32,0,101,12/31/2017,156,1,3,33.32,24.01,46.55,45.08,57.82,49,62.72,51.45,42.63,50.96,72.52,57.33,49.49,36.26,41.65,58.8,-34.3,65.66,20.58,46.55,74.48,36.26,68.6,320.6,,306.3,,303.9,,,309.9,,305.7,309.5,,311,,300.2,,304.5,,301.9,,,305.4,,,301.9,71.294,63.27,61.89,62.036,215.535,200.271,203.631,204.545
101,1,B14,4/1/2019,173,1,1,43.1,46.6,62.2,51,55.9,67.6,51.9,41.2,53.9,52.9,59.8,76.4,46.1,41.2,29.9,59.8,47,36.8,57.3,62.7,47,48,45.6,277.6,267.4,260.1,261,263.6,263.4,257.3,263.1,256.4,258.2,255.7,259.1,261.2,257.4,253,245.8,247.2,255.2,246.8,246.7,252.5,251.7,249.9,250.3,,42.524,27.458,25.231,30.814,199.893,186.799,184.665,181.817
102,1,B14,4/1/2019,173,1,2,55.4,56.8,67.1,55.9,61.3,49.5,58.8,46.1,60.3,58.8,67.1,54.4,51,66.2,44.1,70.1,52.9,42.6,68.1,75.5,55.9,56.8,50,294.8,284.5,282.7,289.9,287.9,288.7,286.7,293.2,287.1,290.8,290.1,294.1,291.8,290.7,298.2,290.4,291.2,295.2,290.8,290.8,298.8,297.5,298.1,294.1,,48.024,49.183,51.064,53.876,201.949,199.669,200.086,201.4
103,1,B7,3/29/2019,176,1,3,41.7,59.3,62.7,54.9,56.8,59.8,51.9,43.1,55.4,54.4,90.2,62.7,52.9,28.9,43.1,67.1,65.7,41.7,64.2,73.5,52.4,57.3,53.4,283,266.5,264.3,272,272.8,269.1,264.4,274,266.7,268.2,268.1,283.1,283.1,276.5,283.4,277.1,278.9,285.1,276.8,283.5,288.4,284.7,281.5,280.2,,53.572,43.307,46.193,54.355,195.208,191.296,194.707,187.771
104,1,B7,3/29/2019,176,1,1,42.1,57.3,65.2,51.5,58.3,55.4,57.3,44.1,56.4,52.4,64.2,52.9,51.9,122.5,39.7,66.2,61.7,41.7,64.7,72.5,51.5,55.9,52.9,292.2,272.4,273.1,271.4,274.9,274.6,275.1,279.4,271.8,275.8,275.5,280.1,279.8,278.3,285.5,278.2,278,285.4,277.4,282.3,285.8,283.5,281.3,282.2,,52.035,48.038,50.649,53.375,193.094,193.172,192.381,185.572
105,1,B7,3/29/2019,176,1,1,54.4,62.7,71.1,56.8,65.2,75,29.4,47.5,61.7,62.2,69.1,56.8,47.5,25,47.5,73,59.3,44.6,70.6,80.4,56.4,61.7,55.4,305.6,295.9,296.6,302.8,303.8,303,308,301.4,299.5,302.4,297.8,304.1,306.4,302.8,309.3,302.7,304.1,314.3,305.4,311.5,314.1,314.6,316,314.4,,76.823,78.286,79.375,89.756,180.384,186.164,185.573,182.379
106,1,B7,3/29/2019,176,1,2,51,57.8,66.2,52.9,57.3,67.1,57.8,44.1,57.3,56.4,63.7,51.5,52.4,53.4,43.1,65.7,45.1,41.2,63.7,72,52.4,55.4,58.3,281.8,271.5,268.2,272.6,272.1,273.1,276.2,279.2,273,275.3,276.5,278.8,279.1,277,281.6,277.6,279.1,282,274.7,280.7,284.1,282.6,282.1,281.4,,60.342,59.542,56.901,63.201,181.998,181.316,178.745,177.424
107,1,B7,3/29/2019,176,1,3,51.9,62.2,52.9,62.7,71.5,54.9,59.8,47.5,59.8,61.3,68.6,74.5,59.3,58.3,47,72.5,63.2,46.6,69.6,78.9,56.8,62.2,51.9,306.8,290.7,287.5,290.7,295.1,299.4,298,301.3,292.1,296.9,296.9,301.9,307.7,303.5,310,302.1,303.9,312,302.3,307.1,305.5,306.8,304,303.5,,75.2,77.257,79.687,82.776,186.767,181.86,183.202,180.102
